No,D (m),H(m),Q,K(MPa),ε (%),Class,Singh,Barla,RandomForest,SVM,XGBoost
93,6.5,300.0,0.033,10.0,3.0,3,1,3,3,3,3
94,6.5,312.0,0.094,34.67,1.5,2,1,3,2,2,2
95,6.5,280.0,0.083,29.33,1.5,2,1,3,2,2,2
96,6.5,270.0,0.125,15.91,2.2,2,1,3,2,2,2
97,6.5,285.0,0.063,12.8,2.5,3,1,3,3,2,3
98,6.5,280.0,0.031,11.54,2.6,3,1,3,3,2,3
99,6.5,280.0,0.042,12.5,2.4,2,1,3,2,2,3
100,6.0,727.0,2.287,5.88,1.7,2,1,1,2,2,2
101,6.0,736.0,2.426,7.69,1.3,2,1,1,2,2,2
102,6.0,733.0,2.903,6.25,1.6,2,1,1,2,2,2
103,6.0,690.0,1.65,9.38,1.6,2,1,1,2,3,2
104,13.0,577.0,1.517,11.11,1.8,2,1,1,2,2,2
105,5.4,199.7,0.02,1217.16,4.58,3,1,3,3,3,3
106,5.4,217.5,0.013,1217.16,25.54,3,2,3,3,3,3
107,5.4,252.2,0.01,1523.07,12.5,3,2,3,3,3,3
108,5.4,246.3,0.01,1523.07,3.8,3,2,3,3,3,3
109,5.4,283.9,0.008,1645.38,36.73,3,3,3,3,3,3
110,5.4,284.5,0.008,1828.98,30.19,3,3,3,3,3,3
111,5.4,210.8,0.01,1575.72,18.3,3,2,3,3,3,3
112,5.4,237.7,0.01,1575.72,10.96,3,2,3,3,3,3
113,5.4,230.0,0.015,1217.16,9.8,3,2,3,3,3,3
114,5.4,222.6,0.015,1217.16,1.2,2,2,3,2,3,2
115,5.4,80.0,93.5,0.0,0.0,1,1,1,1,3,1
116,5.4,190.0,7.45,0.0,0.0,1,1,1,1,3,1
117,5.4,130.0,1.53,0.0,0.0,1,1,1,1,1,1
119,6.03,1009.0,9.366,135.41,15.0,3,1,1,2,3,3
120,9.4,606.0,100.0,412.8,15.0,3,1,1,2,3,3
121,9.05,329.0,0.202,35.32,15.0,3,1,3,2,2,2
122,5.53,379.0,0.2,23.1,15.0,3,1,3,3,3,3
123,6.5,758.0,1.263,55.03,15.0,3,1,2,2,3,3
124,4.71,104.0,0.007,15.81,15.0,3,1,3,3,3,3
125,5.61,127.0,0.125,21.11,15.0,3,1,3,1,1,3
126,9.95,365.0,100.0,878.69,15.0,3,1,1,2,3,3
127,7.02,306.0,12.814,149.4,15.0,3,1,1,2,3,3
128,5.73,277.0,1.807,128.42,15.0,3,1,1,2,1,3
129,5.46,346.0,3.063,158.96,15.0,3,1,1,2,1,3
130,4.92,55.0,0.264,67.16,15.0,3,1,2,1,1,3
131,8.51,200.0,0.055,29.54,15.0,3,1,3,1,2,3
132,3.79,241.0,0.344,54.76,15.0,3,1,3,2,2,3
133,9.65,515.0,3.487,213.07,15.0,3,1,1,2,2,3
134,6.72,550.0,0.108,11.88,15.0,3,2,3,3,3,3
135,3.43,391.0,1.373,109.74,15.0,3,1,1,2,2,3
136,8.39,342.0,0.001,1.48,15.0,3,3,3,3,2,3
137,10.29,781.0,23.61,397.49,15.0,3,1,1,2,3,3
138,6.98,780.0,3.113,176.9,15.0,3,1,1,2,2,3
139,5.12,294.0,2.781,76.87,15.0,3,1,1,2,1,3
140,5.08,141.0,2.464,184.93,15.0,3,1,1,1,1,3
141,6.86,684.0,2.434,150.29,15.0,3,1,1,2,2,3
142,5.59,229.0,0.773,47.45,15.0,3,1,3,1,1,3
143,3.66,226.0,0.515,44.36,15.0,3,1,3,1,2,3
144,5.21,409.0,2.833,144.36,15.0,3,1,1,2,1,3
145,5.99,389.0,7.591,200.64,15.0,3,1,1,2,3,3
146,4.83,86.0,100.0,1120.12,0.01,1,1,1,1,3,1
147,6.82,340.0,0.026,15.29,15.0,3,2,3,3,3,3
148,4.46,255.0,5.133,191.16,15.0,3,1,1,2,3,3
119,8.5,1200.0,0.15,150.0,4.2,3,3,3,2,3,3
120,6.0,800.0,0.8,800.0,1.8,2,1,3,3,2,2
121,10.0,1500.0,0.05,50.0,8.5,3,3,3,3,3,3
122,12.0,1800.0,0.3,300.0,2.8,3,3,3,3,3,3
123,7.0,600.0,2.5,2000.0,0.8,1,1,1,3,3,1
124,6.5,150.0,4.0,2500.0,0.3,1,1,1,1,3,1
125,9.0,200.0,8.0,3500.0,0.15,1,1,1,1,3,1
126,5.0,2000.0,0.02,25.0,12.0,3,3,3,3,3,3
127,4.5,1500.0,0.1,100.0,5.5,3,3,3,3,3,3
128,5.5,1000.0,1.2,1200.0,1.2,2,2,2,3,3,3
